# Force coefficients
# liftDir    : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf    : 2.000000e+01
# lRef       : 1.420000e+00
# Aref       : 7.500000e-01
# CofR       : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
1            	5.677476e-01	1.335240e+00	-3.539029e-02	5.500524e-01	-5.854427e-01
2            	6.524970e-01	1.529891e+00	-5.275977e-02	6.261171e-01	-6.788769e-01
3            	5.707365e-01	1.334942e+00	-4.019024e-02	5.506413e-01	-5.908316e-01
4            	4.620001e-01	1.083905e+00	-2.883522e-02	4.475825e-01	-4.764177e-01
5            	3.717534e-01	8.786814e-01	-1.811608e-02	3.626953e-01	-3.808114e-01
6            	3.042973e-01	7.260226e-01	-3.736318e-03	3.024292e-01	-3.061655e-01
7            	2.596675e-01	6.238447e-01	6.380515e-03	2.628577e-01	-2.564772e-01
8            	2.306116e-01	5.572593e-01	1.049752e-02	2.358604e-01	-2.253628e-01
9            	2.112421e-01	5.135217e-01	1.295578e-02	2.177200e-01	-2.047642e-01
10           	1.980255e-01	4.849526e-01	1.498364e-02	2.055173e-01	-1.905337e-01
11           	1.891790e-01	4.661807e-01	1.825224e-02	1.983051e-01	-1.800528e-01
12           	1.837259e-01	4.536849e-01	2.281113e-02	1.951315e-01	-1.723204e-01
13           	1.806310e-01	4.456263e-01	2.872544e-02	1.949938e-01	-1.662683e-01
14           	1.799021e-01	4.414501e-01	3.434372e-02	1.970740e-01	-1.627302e-01
15           	1.803546e-01	4.388932e-01	4.050348e-02	2.006064e-01	-1.601029e-01
16           	1.807743e-01	4.365979e-01	4.642500e-02	2.039868e-01	-1.575618e-01
17           	1.811544e-01	4.350885e-01	5.108814e-02	2.066985e-01	-1.556104e-01
18           	1.812917e-01	4.338856e-01	5.363164e-02	2.081075e-01	-1.544759e-01
19           	1.812161e-01	4.326138e-01	5.417085e-02	2.083016e-01	-1.541307e-01
20           	1.810966e-01	4.315978e-01	5.316559e-02	2.076794e-01	-1.545138e-01
21           	1.810277e-01	4.311563e-01	5.157312e-02	2.068143e-01	-1.552412e-01
22           	1.802893e-01	4.306246e-01	5.064467e-02	2.056116e-01	-1.549669e-01
23           	1.788124e-01	4.296609e-01	5.077024e-02	2.041976e-01	-1.534273e-01
24           	1.766915e-01	4.280504e-01	5.168932e-02	2.025361e-01	-1.508468e-01
25           	1.742243e-01	4.259219e-01	5.341518e-02	2.009319e-01	-1.475167e-01
26           	1.720491e-01	4.238672e-01	5.528633e-02	1.996923e-01	-1.444060e-01
27           	1.703276e-01	4.220503e-01	5.697511e-02	1.988152e-01	-1.418400e-01
28           	1.688778e-01	4.201669e-01	5.838108e-02	1.980684e-01	-1.396873e-01
29           	1.676079e-01	4.183507e-01	5.985157e-02	1.975337e-01	-1.376821e-01
30           	1.664760e-01	4.166757e-01	6.151224e-02	1.972321e-01	-1.357199e-01
31           	1.655405e-01	4.152147e-01	6.313904e-02	1.971101e-01	-1.339710e-01
32           	1.647814e-01	4.139490e-01	6.438082e-02	1.969718e-01	-1.325910e-01
33           	1.642527e-01	4.130666e-01	6.533199e-02	1.969187e-01	-1.315867e-01
34           	1.638058e-01	4.124312e-01	6.603160e-02	1.968216e-01	-1.307900e-01
35           	1.634780e-01	4.119824e-01	6.655826e-02	1.967571e-01	-1.301988e-01
36           	1.632701e-01	4.117223e-01	6.692948e-02	1.967349e-01	-1.298054e-01
37           	1.632610e-01	4.116246e-01	6.705614e-02	1.967891e-01	-1.297330e-01
38           	1.634211e-01	4.115037e-01	6.661434e-02	1.967283e-01	-1.301140e-01
39           	1.636524e-01	4.112058e-01	6.577279e-02	1.965388e-01	-1.307661e-01
40           	1.639107e-01	4.107719e-01	6.475915e-02	1.962902e-01	-1.315311e-01
41           	1.640565e-01	4.101993e-01	6.386512e-02	1.959890e-01	-1.321239e-01
42           	1.640499e-01	4.095737e-01	6.310656e-02	1.956032e-01	-1.324966e-01
43           	1.639086e-01	4.088946e-01	6.271800e-02	1.952676e-01	-1.325496e-01
44           	1.636540e-01	4.083222e-01	6.257298e-02	1.949405e-01	-1.323676e-01
45           	1.633501e-01	4.079652e-01	6.275873e-02	1.947295e-01	-1.319707e-01
46           	1.630974e-01	4.079287e-01	6.323837e-02	1.947166e-01	-1.314782e-01
47           	1.629287e-01	4.082448e-01	6.388192e-02	1.948696e-01	-1.309877e-01
48           	1.627975e-01	4.087603e-01	6.458650e-02	1.950907e-01	-1.305042e-01
49           	1.626506e-01	4.094333e-01	6.531606e-02	1.953086e-01	-1.299926e-01
50           	1.624493e-01	4.101225e-01	6.607688e-02	1.954877e-01	-1.294108e-01
51           	1.622268e-01	4.108334e-01	6.688762e-02	1.956706e-01	-1.287830e-01
52           	1.620013e-01	4.115306e-01	6.762289e-02	1.958128e-01	-1.281899e-01
53           	1.617980e-01	4.122369e-01	6.829122e-02	1.959436e-01	-1.276524e-01
54           	1.616294e-01	4.129178e-01	6.888828e-02	1.960735e-01	-1.271852e-01
55           	1.615129e-01	4.136027e-01	6.936268e-02	1.961942e-01	-1.268315e-01
56           	1.614177e-01	4.141685e-01	6.969119e-02	1.962633e-01	-1.265721e-01
